code,parent,urn,name#es,name#en,name#ca,description#es,description#en,description#ca
144,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).144,Oreja de mar o Abalón (Haliotis tuberculata),,,,,
145,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).145,Camarón Báltico (Palaemon adspersus),,,,,
146,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).146,Camarón o esquila (Palaemon elegans),,,,,
147,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).147,Abejorros (Bombus terrestris),,,,,
148,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).148,Garra Rufa (Pez doctor),,,,,
150,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).150,"Erizo de mar (Paracentrotus,Echinocarduium, otras)",,,,,
151,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).151,Ortiguillas (Anemonia sulcata),,,,,
152,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).152,Vargula hilgendorfii,,,,,
153,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).153,Centolla (Maja squinado),,,,,
154,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).154,Nécora (Necora púber),,,,,
155,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).155,Caballito de mar (Hippocampus guttulatus),,,,,
156,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).156,Pez espinoso (Gasterosteus aculeatus),,,,,
157,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).157,Esturión esterlete (Acipenser ruthenus),,,,,
158,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).158,Lubrigante (Homarus gammarus),,,,,
159,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).159,Santiaguiño (Scyllarus arctus),,,,,
160,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).160,Cyprinodon variegatus,,,,,
161,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).161,Berberecho birollo (Cerastoderma glaucum),,,,,
162,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).162,Medusas,,,,,
163,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).163,Lampuga (Coryphaena hippurus),,,,,
164,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).164,"Pepino de mar (Holothuria Forskali, Aslia Lefevrei)",,,,,
165,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).165,Moluscos bivalvos (Polititapes rhomboides y otros),,,,,
166,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).166,"Caracoles (Littorina Fabalis, Littorina Saxatalis)",,,,,
167,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).167,Estrellas de mar (Marthasterias Glacialis),,,,,
168,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).168,Moluscos gasterópodos_Lapas (Patella spp y otras),,,,,
169,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).169,Ostra portuguesa (Crassostrea angulata),,,,,
200,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).200,Animales de experimentación,,,,,
201,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).201,Ratones (Mus musculus),,,,,
202,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).202,Ratas (Rattus norvegicus),,,,,
203,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).203,Cobayas (Cavia porcelus),,,,,
204,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_REGAC_ESPECIES(01.000).204,Hámsters dorado (Mesocricetus auratus),,,,,
